Enviado em,"A fim de medir o nível de satisfação em relação ao atendimento do Almoxarifado para os demais setores da empresa, qual sua pontuação de 0 a 10 ?","Em sua visão, quais aspectos podem ser destacados como pontos de melhoria para o setor ?"
2025-09-15 07:30:38,2,"* Atendimento tem que ser mais ágil 
* Mais Rapidez 
* Vontade 
* Mais Conhecimento sobre os Itens 
* Mais Educação Também
* Não questionar Só executar o que é pedido."
2025-09-15 07:25:14,6,"Atendimento interno, organização."
2025-09-15 07:22:46,9,.
2025-09-15 07:22:30,5,faltar menos as coisas e entrega mais rapida 
2025-09-15 07:21:36,7,.
2025-09-15 07:20:14,9,Está em um nível bom
2025-09-15 07:17:41,7,Trabalhar junto com fiscal para melhorar a entrada das Notas fiscais
2025-09-15 07:15:23,7,"agilizar a entrada das notas quando chega uma MP, juntamente com fiscal"
2025-09-15 07:11:56,9,Entregar mais cedo os materiais da produção
2025-09-15 07:03:27,6,"questão em numero de acessos, e estabilidade do sistema."
2025-09-15 06:55:54,10,"Sinto que a mudança esta acontecendo, mas ainda tem pessoas que no atendimento são muito grosseiras."
